Code géographique,Coups et blessures volontaires,Vols avec armes,Cambriolages de logement,Vols de véhicules,Destructions et dégradations volontaires,Trafic de stupéfiants
01165,0.0,0.0,0.0,0.0,0.0,0.0
01166,0.0,0.0,7.300540205734337,0.0,0.0,0.0
01167,0.0,0.0,0.0,0.0,0.0,0.0
01169,0.0,0.0,0.0,0.0,0.0,0.0
01170,0.0,0.0,0.0,0.0,0.0,0.0
01171,0.0,0.0,6.1908542494072725,0.0,0.0,0.0
01173,3.01356236895773,0.0,5.382376210281783,1.525566084637184,0.0,0.0
01174,0.0,0.0,0.0,0.0,0.0,0.0
01175,0.0,0.0,0.0,0.0,0.0,0.0
01177,0.0,0.0,0.0,0.0,0.0,0.0
01179,0.5260389268805892,0.0,1.116608003709677,0.0,0.0,0.0
01180,0.0,0.0,19.236144530997908,0.0,0.0,0.0
01181,0.8058017727639002,0.0,8.72646480286886,0.0,0.0,0.0
01183,0.0,0.0,5.193757016840517,0.0,0.0,0.0
01184,0.0,0.0,0.0,0.0,0.0,0.0
01185,2.2397280122935928,0.0,0.0,0.0,0.0,0.0
01187,0.0,0.0,0.0,0.0,0.0,0.0
01188,0.0,0.0,0.0,0.0,0.0,0.0
01189,0.0,0.0,0.0,0.0,0.0,0.0
01190,0.0,0.0,0.0,0.0,0.0,0.0
01191,0.0,0.0,0.0,0.0,0.0,0.0
01192,0.0,0.0,2.679044616562186,0.0,0.0,0.0
01193,0.0,0.0,0.0,0.0,0.0,0.0
01194,2.9404017194350662,0.0,10.211850664099329,2.1260118142433977,0.0,0.0
01195,0.0,0.0,2.333018990018198,0.0,0.0,0.0
01196,0.0,0.0,0.0,0.0,0.0,0.0
01197,0.0,0.0,0.0,0.0,0.0,0.0
01198,0.0,0.0,0.0,0.0,0.0,0.0
01199,3.3587901649189518,0.0,4.5523397771407454,2.651010502289619,0.0,0.0
01200,0.0,0.0,0.0,0.0,0.0,0.0
01202,2.499198857509637,0.0,5.129690295935771,1.66682070206636,0.0,0.0
01203,0.0,0.0,0.0,0.0,0.0,0.0
01204,0.0,0.0,0.0,0.0,0.0,0.0
01206,0.0,0.0,0.0,0.0,0.0,0.0
01207,0.0,0.0,0.0,0.0,0.0,0.0
01208,0.0,0.0,0.0,0.0,0.0,0.0
01209,0.0,0.0,0.0,0.0,0.0,0.0
01210,0.0,0.0,0.0,0.0,0.0,0.0
01211,0.0,0.0,4.467838843335714,0.0,0.0,0.0
01212,0.0,0.0,0.0,0.0,0.0,0.0
