Code géographique,Taux d'activité des 15-64 ans,Taux d'emploi des 15-64 ans,Taux de chômage des 15-64 ans,Part des ouvriers dans les emplois
01089,79.73228071536289,74.38348685373238,5.348793861630087,31.354751254941483
01090,78.94251510127187,72.94683877368932,5.995676327582689,27.377314441780086
01092,80.33785288103553,75.57686891557337,4.7609839654622155,14.051815127341381
01093,77.28781684627019,69.01823563647406,8.26958120979641,26.613104251984968
01094,80.19724072163575,74.5715061448472,5.62573457678857,35.187864287091806
01095,78.55981704775105,72.35908340307599,6.200733644675014,30.931713978072196
01096,79.28166258751966,74.67276600009208,4.608896587427571,23.822622652084757
01098,77.93248336285673,68.22203664844325,9.710446714413406,44.83594073017877
01099,82.1917808219178,76.81017612524462,5.38160469667319,16.431441111934227
01100,76.92307692307692,63.07692307692308,13.846153846153847,0.0
01101,89.8989898989899,89.8989898989899,0.0,50.0
01102,81.6240067399207,75.44699220314239,6.177014536778361,27.510073597640204
