Code géographique,Médiane du niveau vie (€)
07025,17680
07026,16670
07027,22430
07028,19420
07029,13660
07030,19320
07031,21260
07032,20220
07033,19950
07034,23870
07035,20790
07036,24300
07037,18000
07038,s
07039,20030
07040,21680
07041,23090
07042,20350
07044,22210
07045,18990
07047,s
07048,19010
07049,s
07050,20920
07051,22810
07052,21900
07053,21190
07054,21470
07055,24370
07056,23760
07058,22310
07059,26200
07060,21250
07061,22530
07062,19010
07063,20860
07064,21880
07065,20070
07066,23820
07067,25460
07068,21490
07069,20410
07070,24510
07071,20350
07072,24650
07073,21510
07074,25590
07075,15820
07076,22970
07077,19770
07078,23670
07079,19470
07080,19900
07081,s
07082,20970
07083,21840
07084,23380
07085,18950
07086,21900
07087,20980
07088,19320
07089,25570
07090,22320
07091,24010
07092,s
07093,16430
07094,22200
07095,19730
07096,20870
07097,23100
07098,s
07099,22750
07100,19940
07101,20270
07102,24110
07103,20960
07104,s
07105,18880
07106,19820
07107,21110
07108,22680
07109,19750
07110,20160
07111,20660
07112,20360
07113,23080
07114,17160
07115,25090
07116,18390
07117,21130
07118,18780
07119,17780
07120,s
07121,20350
07122,22960
07123,19780
07124,s
07126,20960
07127,18260
07128,20310
07129,19750
07130,22850
07131,21190
07132,18410
07133,21680
07134,20390
07136,s
07137,s
07138,22530
07139,19750
07140,22880
07141,19140
07142,21900
07143,23460
07144,s
07145,23940
07146,24550
07147,14100
07148,17610
07149,20840
07150,22990
07151,17900
07152,23280
07153,19540
07154,16970
07155,23970
07156,20200
07157,22820
07158,18620
07159,23280
07160,s
07161,20210
07162,22820
07163,s
07165,19570
07166,16940
07167,22000
07168,21910
07169,22230
07170,18920
07171,20440
07172,24770
07173,s
07174,22460
07175,s
07176,19330
07177,23420
07178,18560
07179,25400
07181,19680
07182,21990
07183,21670
07184,22390
07185,22320
07186,20510
07187,20190
07188,22210
07189,21300
07190,23090
07191,24000
07192,17570
07193,21230
07194,21550
07195,s
07196,18360
07197,24140
07198,24210
07199,20610
07200,s
07201,21260
07202,16540
07203,s
07204,20580
07205,22660
07206,s
07207,22240
07208,22530
07209,s
